AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.037,-0.186,0.969,,,,,
0.023,-0.191,0.953,,,,,
0.012,-0.199,0.969,,,,,
0.025,-0.207,0.98,,,,,
0.033,-0.193,0.961,,,,,
0.033,-0.186,0.957,,,,,
0.014,-0.195,0.955,,,,,
0.02,-0.197,0.979,,,,,
0.029,-0.209,0.971,,,,,
0.035,-0.189,0.975,,,,,
0.02,-0.195,0.953,,,,,
0.014,-0.189,0.977,,,,,
0.027,-0.209,0.977,398,30.9,38.5,3869,2
0.035,-0.188,0.971,,,,,
0.031,-0.191,0.961,,,,,
0.016,-0.193,0.953,,,,,
0.018,-0.195,0.977,,,,,
0.027,-0.207,0.969,,,,,
0.031,-0.188,0.967,,,,,
0.02,-0.199,0.945,,,,,
0.018,-0.197,0.971,,,,,
0.023,-0.211,0.971,,,,,
0.037,-0.193,0.975,,,,,
0.031,-0.184,0.957,,,,,
0.01,-0.189,0.961,,,,,
0.021,-0.199,0.988,,,,,
0.033,-0.203,0.975,,,,,
0.035,-0.189,0.969,,,,,
0.012,-0.199,0.939,,,,,
0.014,-0.195,0.979,,,,,
0.029,-0.211,0.984,392,31.1,38.1,4044,2
0.035,-0.188,0.971,,,,,
0.027,-0.188,0.949,,,,,
0.012,-0.191,0.967,,,,,
0.021,-0.201,0.988,,,,,
0.033,-0.201,0.965,,,,,
0.033,-0.184,0.957,,,,,
0.014,-0.199,0.949,,,,,
0.018,-0.199,0.986,,,,,
0.025,-0.207,0.977,,,,,
0.037,-0.186,0.967,,,,,
0.027,-0.189,0.951,,,,,
0.014,-0.191,0.971,,,,,
0.023,-0.201,0.988,,,,,
0.031,-0.203,0.965,,,,,
0.033,-0.189,0.959,,,,,
0.014,-0.195,0.951,,,,,
0.016,-0.197,0.98,,,,,
0.027,-0.211,0.967,392,31.1,38.1,4220,2
0.035,-0.189,0.969,,,,,
0.025,-0.195,0.963,,,,,
0.014,-0.189,0.965,,,,,
0.025,-0.203,0.984,,,,,
0.033,-0.197,0.967,,,,,
0.033,-0.186,0.957,,,,,
0.01,-0.197,0.951,,,,,
0.018,-0.201,0.975,,,,,
0.021,-0.215,0.969,,,,,
